;id;name;image_path;type;region;country;winery;tastes;year
154531015;154531015;Domaines Vinsmoselle Pinot Gris 2017;Images_saved\img_208.jpg;2;Côtes de Remich;Luxembourg;Domaines Vinsmoselle;[['tree_fruit', 8, 1000], ['citrus_fruit', 5, 600], ['earth', 5, 600], ['tropical_fruit', 1, 100], ['floral', 1, 100]];2017
150339128;150339128;Caves St Martin De Nos Rochers Pinot Noir Rouge 2016;Images_saved\img_209.jpg;1;Moselle;Luxembourg;Caves St Martin;[['red_fruit', 8, 1416], ['earth', 3, 253], ['microbio', 3, 175], ['oak', 2, 143], ['non_oak', 2, 23], ['spices', 1, 6], ['vegetal', 1, 100], ['black_fruit', 1, 68], ['dried_fruit', 1, 16], ['citrus_fruit', 1, 100]];2016
13845505;13845505;Desom Pinot Noir 2013;Images_saved\img_210.jpg;1;Côtes de Remich;Luxembourg;Desom;[['oak', 8, 974], ['black_fruit', 6, 923], ['spices', 6, 224], ['red_fruit', 5, 345], ['non_oak', 4, 36], ['microbio', 3, 166], ['tree_fruit', 2, 300], ['dried_fruit', 2, 32], ['floral', 1, 100]];2013
16617461;16617461;Bernard-Massard Auxerrois Grand Premier Cru 2014;Images_saved\img_211.jpg;2;Côtes de Grevenmacher;Luxembourg;Bernard-Massard;[['tree_fruit', 15, 2700], ['citrus_fruit', 12, 1400], ['earth', 6, 700], ['microbio', 4, 166], ['oak', 4, 301], ['vegetal', 4, 500], ['red_fruit', 1, 100], ['tropical_fruit', 1, 33]];2014
143943465;143943465;Bernard-Massard Pinot Gris Grand Premier Cru 2015;Images_saved\img_212.jpg;2;Côtes de Grevenmacher;Luxembourg;Bernard-Massard;[['tree_fruit', 9, 1500], ['citrus_fruit', 6, 900], ['microbio', 3, 233], ['vegetal', 2, 200], ['earth', 2, 200], ['non_oak', 2, 167], ['spices', 1, 100]];2015
2130211;2130211;Bernard-Massard Rivaner 2011;Images_saved\img_213.jpg;2;Côtes de Grevenmacher;Luxembourg;Bernard-Massard;[['tree_fruit', 6, 700], ['citrus_fruit', 5, 500], ['earth', 2, 200], ['vegetal', 1, 100]];2011
142325704;142325704;Domaine Alice Hartmann La Chapelle Wormeldange Koeppchen Riesling 2015;Images_saved\img_214.jpg;2;Moselle;Luxembourg;Domaine Alice Hartmann;[['citrus_fruit', 4, 600], ['microbio', 4, 350], ['earth', 3, 250], ['tropical_fruit', 2, 200], ['tree_fruit', 2, 200], ['oak', 1, 100]];2015
142435982;142435982;Madame Aly Duhr & Fils Pinot Gris 2015;Images_saved\img_215.jpg;2;Côtes de Grevenmacher;Luxembourg;Madame Aly Duhr & Fils;[['vegetal', 5, 800], ['tree_fruit', 4, 900], ['earth', 3, 500], ['citrus_fruit', 2, 200], ['microbio', 2, 300], ['spices', 1, 6], ['non_oak', 1, 9], ['oak', 1, 85]];2015
147471331;147471331;Domaines Vinsmoselle Pinot 2011;Images_saved\img_216.jpg;2;Luxembourg;Luxembourg;Domaines Vinsmoselle;[['earth', 14, 1400], ['tree_fruit', 11, 1400], ['citrus_fruit', 6, 700], ['oak', 3, 202], ['microbio', 3, 300], ['non_oak', 3, 159], ['tropical_fruit', 2, 133], ['spices', 2, 106], ['floral', 1, 200], ['vegetal', 1, 100]];2011
3871787;3871787;Domaines Vinsmoselle Rivaner 2012;Images_saved\img_217.jpg;2;Côtes de Remich;Luxembourg;Domaines Vinsmoselle;[['tree_fruit', 20, 2700], ['citrus_fruit', 16, 1800], ['earth', 12, 1300], ['vegetal', 7, 800], ['microbio', 7, 700], ['tropical_fruit', 4, 500], ['oak', 3, 195], ['floral', 3, 300], ['non_oak', 3, 193], ['spices', 2, 12]];2012
2049668;2049668;Domaines Vinsmoselle Rivaner 2011;Images_saved\img_218.jpg;2;Côtes de Remich;Luxembourg;Domaines Vinsmoselle;[['tree_fruit', 20, 2700], ['citrus_fruit', 16, 1800], ['earth', 12, 1300], ['vegetal', 7, 800], ['microbio', 7, 700], ['tropical_fruit', 4, 500], ['oak', 3, 195], ['floral', 3, 300], ['non_oak', 3, 193], ['spices', 2, 12]];2011
162035391;162035391;Château de Schengen Auxerrois 2018;Images_saved\img_219.jpg;2;Luxembourg;Luxembourg;Château de Schengen;[['tree_fruit', 6, 800], ['citrus_fruit', 5, 600], ['tropical_fruit', 3, 300], ['earth', 2, 200], ['red_fruit', 1, 100], ['vegetal', 1, 100], ['oak', 1, 100]];2018
86085453;86085453;Bernard-Massard Riesling Grand Premier Cru 2013;Images_saved\img_220.jpg;2;Côtes de Grevenmacher;Luxembourg;Bernard-Massard;[['tree_fruit', 16, 2400], ['citrus_fruit', 8, 900], ['vegetal', 3, 400], ['microbio', 3, 300], ['oak', 2, 186], ['non_oak', 2, 114], ['tropical_fruit', 1, 100], ['floral', 1, 100], ['earth', 1, 100], ['spices', 1, 100]];2013
21155419;21155419;Château de Schengen Riesling 2015;Images_saved\img_221.jpg;2;Luxembourg;Luxembourg;Château de Schengen;[['tree_fruit', 24, 4400], ['citrus_fruit', 23, 3000], ['earth', 22, 2910], ['microbio', 11, 1100], ['vegetal', 6, 600], ['spices', 5, 421], ['tropical_fruit', 4, 600], ['floral', 3, 300], ['non_oak', 2, 109], ['oak', 2, 160]];2015
11975321;11975321;Château Pauque Sous la Roche Riesling 2013;Images_saved\img_222.jpg;2;Moselle;Luxembourg;Château Pauque;[['earth', 10, 1100], ['tree_fruit', 8, 1000], ['citrus_fruit', 6, 800], ['oak', 5, 357], ['tropical_fruit', 4, 400], ['microbio', 4, 266], ['spices', 2, 151], ['non_oak', 2, 26], ['floral', 1, 100]];2013
155195193;155195193;Bernard-Massard Rose Nice;Images_saved\img_223.jpg;3;Moselle;Luxembourg;Bernard-Massard;;N.V.
142312736;142312736;Château Pauque Fossiles 2015;Images_saved\img_224.jpg;2;Moselle;Luxembourg;Château Pauque;;2015
