;id;name;image_path;type;region;country;winery;tastes;year
17574959;17574959;Château de Schengen Auxerrois 2015;Images_saved\img_160.jpg;2;Luxembourg;Luxembourg;Château de Schengen;[['tree_fruit', 6, 800], ['citrus_fruit', 5, 600], ['tropical_fruit', 3, 300], ['earth', 2, 200], ['red_fruit', 1, 100], ['vegetal', 1, 100], ['oak', 1, 100]];2015
80183800;80183800;Bernard-Massard Crémant de Luxembourg Millésimé Brut 2014;Images_saved\img_161.jpg;3;Crémant de Luxembourg;Luxembourg;Bernard-Massard;[['citrus_fruit', 35, 4800], ['tree_fruit', 28, 4000], ['microbio', 21, 2514], ['earth', 13, 1508], ['non_oak', 12, 1152], ['oak', 8, 614], ['tropical_fruit', 5, 500], ['vegetal', 3, 300], ['red_fruit', 3, 400], ['spices', 2, 12], ['black_fruit', 1, 100]];2014
144013435;144013435;Bernard-Massard Gewürztraminer Grand Premier Cru 2015;Images_saved\img_162.jpg;2;Côtes de Grevenmacher;Luxembourg;Bernard-Massard;[['tree_fruit', 12, 1300], ['citrus_fruit', 7, 900], ['tropical_fruit', 6, 866], ['microbio', 4, 400], ['earth', 3, 300], ['oak', 2, 134], ['spices', 1, 100], ['floral', 1, 100], ['red_fruit', 1, 100]];2015
13214181;13214181;Domaines Vinsmoselle Auxerrois 2013;Images_saved\img_163.jpg;2;Moselle;Luxembourg;Domaines Vinsmoselle;[['tree_fruit', 9, 1100], ['microbio', 4, 310], ['earth', 4, 520], ['tropical_fruit', 2, 300], ['citrus_fruit', 2, 200], ['vegetal', 1, 10], ['black_fruit', 1, 100], ['non_oak', 1, 50], ['oak', 1, 10]];2013
58435707;58435707;Château Pauque Clos du Paradis 2014;Images_saved\img_164.jpg;2;Moselle;Luxembourg;Château Pauque;[['oak', 21, 3378], ['microbio', 18, 1076], ['non_oak', 16, 709], ['tree_fruit', 15, 2100], ['spices', 12, 211], ['citrus_fruit', 10, 1325], ['earth', 10, 971], ['vegetal', 6, 330], ['floral', 3, 300], ['tropical_fruit', 2, 200], ['red_fruit', 1, 100], ['dried_fruit', 1, 100], ['black_fruit', 1, 100]];2014
151112542;151112542;Bernard-Massard Crémant de Luxembourg Millésimé Brut 2016;Images_saved\img_165.jpg;3;Crémant de Luxembourg;Luxembourg;Bernard-Massard;[['citrus_fruit', 35, 4800], ['tree_fruit', 28, 4000], ['microbio', 21, 2514], ['earth', 13, 1508], ['non_oak', 12, 1152], ['oak', 8, 614], ['tropical_fruit', 5, 500], ['vegetal', 3, 300], ['red_fruit', 3, 400], ['spices', 2, 12], ['black_fruit', 1, 100]];2016
3763771;3763771;Bernard-Massard Sélection Demi-Sec;Images_saved\img_166.jpg;3;Crémant de Luxembourg;Luxembourg;Bernard-Massard;[['tree_fruit', 9, 1100], ['microbio', 4, 266], ['citrus_fruit', 4, 600], ['spices', 2, 106], ['non_oak', 2, 176], ['oak', 2, 152], ['dried_fruit', 1, 100], ['vegetal', 1, 100], ['earth', 1, 200], ['red_fruit', 1, 100]];N.V.
157751963;157751963;Château de Schengen Pinot Blanc 2017;Images_saved\img_167.jpg;2;Luxembourg;Luxembourg;Château de Schengen;[['earth', 8, 865], ['tree_fruit', 7, 900], ['vegetal', 4, 220], ['microbio', 4, 187], ['citrus_fruit', 3, 300], ['tropical_fruit', 2, 233], ['non_oak', 2, 150], ['oak', 2, 45]];2017
26950979;26950979;Gales Rivaner 2015;Images_saved\img_168.jpg;2;Côtes de Remich;Luxembourg;Gales;[['tree_fruit', 8, 1200], ['citrus_fruit', 7, 700], ['vegetal', 5, 600], ['earth', 5, 500], ['tropical_fruit', 3, 333], ['spices', 1, 6], ['microbio', 1, 67], ['non_oak', 1, 9], ['oak', 1, 85]];2015
154470524;154470524;Gales Rivaner 2017;Images_saved\img_169.jpg;2;Côtes de Remich;Luxembourg;Gales;[['tree_fruit', 8, 1200], ['citrus_fruit', 7, 700], ['vegetal', 5, 600], ['earth', 5, 500], ['tropical_fruit', 3, 333], ['spices', 1, 6], ['microbio', 1, 67], ['non_oak', 1, 9], ['oak', 1, 85]];2017
14641464;14641464;Domaines Vinsmoselle Lëtzebuerger Musel Pinot Gris 2015;Images_saved\img_170.jpg;2;Côtes de Remich;Luxembourg;Domaines Vinsmoselle;[['citrus_fruit', 5, 500], ['tree_fruit', 3, 500], ['microbio', 3, 300], ['tropical_fruit', 1, 100], ['earth', 1, 300]];2015
1274115;1274115;Château Pauque Sous la Roche Riesling 2009;Images_saved\img_171.jpg;2;Moselle;Luxembourg;Château Pauque;[['earth', 10, 1100], ['tree_fruit', 8, 1000], ['citrus_fruit', 6, 800], ['oak', 5, 357], ['tropical_fruit', 4, 400], ['microbio', 4, 266], ['spices', 2, 151], ['non_oak', 2, 26], ['floral', 1, 100]];2009
23566056;23566056;Krier Frères Riesling Remich Primerberg Grand Premier Cru 2014;Images_saved\img_172.jpg;2;Moselle;Luxembourg;Krier Frères;[['tree_fruit', 6, 800], ['citrus_fruit', 3, 400], ['vegetal', 2, 200], ['earth', 2, 300], ['black_fruit', 1, 100], ['microbio', 1, 100]];2014
2046495;2046495;Gales Private Cuvée Blanc de Blancs Brut 2008;Images_saved\img_173.jpg;3;Moselle;Luxembourg;Gales;[['tree_fruit', 18, 2700], ['citrus_fruit', 12, 1300], ['non_oak', 11, 732], ['microbio', 7, 732], ['oak', 6, 436], ['vegetal', 3, 300], ['red_fruit', 2, 300], ['dried_fruit', 1, 100], ['earth', 1, 100], ['tropical_fruit', 1, 100]];2008
24757387;24757387;Desom Wormeldange Köppchen Grand Premier Cru Riesling 2014;Images_saved\img_174.jpg;2;Moselle;Luxembourg;Desom;[['tropical_fruit', 2, 200], ['citrus_fruit', 2, 200], ['earth', 1, 100]];2014
2876232;2876232;Poll Fabaire Brut 2013;Images_saved\img_175.jpg;3;Crémant de Luxembourg;Luxembourg;Poll Fabaire;[['tree_fruit', 36, 5700], ['earth', 26, 2630], ['citrus_fruit', 26, 3200], ['non_oak', 24, 2019], ['oak', 19, 1024], ['microbio', 14, 1028], ['vegetal', 6, 430], ['tropical_fruit', 4, 333], ['spices', 2, 36], ['red_fruit', 2, 200], ['dried_fruit', 1, 100]];2013
149895275;149895275;A. Gloden & Fils Pinot Noir 2014;Images_saved\img_176.jpg;1;Coteaux de Schengen;Luxembourg;A. Gloden & Fils;[['tree_fruit', 1, 100], ['earth', 1, 100]];2014
23185084;23185084;Mathis Bastian Wellenstein Foulschette Pinot Noir 2014;Images_saved\img_177.jpg;1;Moselle;Luxembourg;Mathis Bastian;[['red_fruit', 7, 900], ['tree_fruit', 3, 400], ['spices', 3, 300], ['black_fruit', 2, 22], ['dried_fruit', 2, 378], ['earth', 2, 200], ['floral', 1, 100], ['microbio', 1, 100]];2014
